model,suite,prompt_mode,task_id,episode_id,prompt_used,success,ratio_mean,iou_mean,sources
DreamZero,libero_10,empty,0,0,,0.0,0.5637974809117736,0.17449834436641112,/n/holylfs06/LABS/sham_lab/Users/chloe00/vla-interp/results/attention/iou/dreamzero/perturb/prompt_empty/libero_10_seed7/iou_results_libero_10.json | /n/holylfs06/LABS/sham_lab/Users/chloe00/vla-interp/results/attention/ratio/dreamzero/perturb/prompt_empty/libero_10_seed7/attention_ratio_results_libero_10.json
DreamZero,libero_10,opposite,0,0,,1.0,0.5415014785216233,0.1629431688251682,/n/holylfs06/LABS/sham_lab/Users/chloe00/vla-interp/results/attention/iou/dreamzero/perturb/prompt_opposite/libero_10_seed7/iou_results_libero_10.json | /n/holylfs06/LABS/sham_lab/Users/chloe00/vla-interp/results/attention/ratio/dreamzero/perturb/prompt_opposite/libero_10_seed7/attention_ratio_results_libero_10.json
DreamZero,libero_10,original,0,0,,1.0,0.5306371695594561,0.18084729842078073,/n/holylfs06/LABS/sham_lab/Users/chloe00/vla-interp/results/attention/iou/dreamzero/perturb/none/libero_10_seed7/iou_results_libero_10.json | /n/holylfs06/LABS/sham_lab/Users/chloe00/vla-interp/results/attention/iou/dreamzero/perturb/pol_object_shift_x0.05_y0.0/libero_10_seed7/iou_results_libero_10.json | /n/holylfs06/LABS/sham_lab/Users/chloe00/vla-interp/results/attention/iou/dreamzero/perturb/pol_random_action_p0.25_s1.0/libero_10_seed7/iou_results_libero_10.json | /n/holylfs06/LABS/sham_lab/Users/chloe00/vla-interp/results/attention/iou/dreamzero/perturb/vis_rotate_15deg_translate_x0.1_y0.0/libero_10_seed7/iou_results_libero_10.json | /n/holylfs06/LABS/sham_lab/Users/chloe00/vla-interp/results/attention/iou/dreamzero/perturb/vis_rotate_30deg/libero_10_seed7/iou_results_libero_10.json | /n/holylfs06/LABS/sham_lab/Users/chloe00/vla-interp/results/attention/iou/dreamzero/perturb/vis_translate_x0.2_y0.0/libero_10_seed7/iou_results_libero_10.json | /n/holylfs06/LABS/sham_lab/Users/chloe00/vla-interp/results/attention/ratio/dreamzero/perturb/none/libero_10_seed7/attention_ratio_results_libero_10.json | /n/holylfs06/LABS/sham_lab/Users/chloe00/vla-interp/results/attention/ratio/dreamzero/perturb/pol_object_shift_x0.05_y0.0/libero_10_seed7/attention_ratio_results_libero_10.json | /n/holylfs06/LABS/sham_lab/Users/chloe00/vla-interp/results/attention/ratio/dreamzero/perturb/pol_random_action_p0.25_s1.0/libero_10_seed7/attention_ratio_results_libero_10.json | /n/holylfs06/LABS/sham_lab/Users/chloe00/vla-interp/results/attention/ratio/dreamzero/perturb/vis_rotate_15deg_translate_x0.1_y0.0/libero_10_seed7/attention_ratio_results_libero_10.json | /n/holylfs06/LABS/sham_lab/Users/chloe00/vla-interp/results/attention/ratio/dreamzero/perturb/vis_rotate_30deg/libero_10_seed7/attention_ratio_results_libero_10.json | /n/holylfs06/LABS/sham_lab/Users/chloe00/vla-interp/results/attention/ratio/dreamzero/perturb/vis_translate_x0.2_y0.0/libero_10_seed7/attention_ratio_results_libero_10.json
DreamZero,libero_10,random,0,0,,0.0,0.5627036063396647,0.15245096574844513,/n/holylfs06/LABS/sham_lab/Users/chloe00/vla-interp/results/attention/iou/dreamzero/perturb/prompt_random/libero_10_seed7/iou_results_libero_10.json | /n/holylfs06/LABS/sham_lab/Users/chloe00/vla-interp/results/attention/ratio/dreamzero/perturb/prompt_random/libero_10_seed7/attention_ratio_results_libero_10.json
DreamZero,libero_10,shuffle,0,0,,1.0,0.5337392871088006,0.2158863175543562,/n/holylfs06/LABS/sham_lab/Users/chloe00/vla-interp/results/attention/iou/dreamzero/perturb/prompt_shuffle/libero_10_seed7/iou_results_libero_10.json | /n/holylfs06/LABS/sham_lab/Users/chloe00/vla-interp/results/attention/ratio/dreamzero/perturb/prompt_shuffle/libero_10_seed7/attention_ratio_results_libero_10.json
DreamZero,libero_10,synonym,0,0,,1.0,0.5196629987695114,0.22333409680920022,/n/holylfs06/LABS/sham_lab/Users/chloe00/vla-interp/results/attention/iou/dreamzero/perturb/prompt_synonym/libero_10_seed7/iou_results_libero_10.json | /n/holylfs06/LABS/sham_lab/Users/chloe00/vla-interp/results/attention/ratio/dreamzero/perturb/prompt_synonym/libero_10_seed7/attention_ratio_results_libero_10.json
DreamZero,libero_10,empty,0,1,,0.0,0.5692536918722524,0.1182909248457843,/n/holylfs06/LABS/sham_lab/Users/chloe00/vla-interp/results/attention/iou/dreamzero/perturb/prompt_empty/libero_10_seed7/iou_results_libero_10.json | /n/holylfs06/LABS/sham_lab/Users/chloe00/vla-interp/results/attention/ratio/dreamzero/perturb/prompt_empty/libero_10_seed7/attention_ratio_results_libero_10.json
DreamZero,libero_10,opposite,0,1,,0.0,0.5730616041286137,0.07777118233465947,/n/holylfs06/LABS/sham_lab/Users/chloe00/vla-interp/results/attention/iou/dreamzero/perturb/prompt_opposite/libero_10_seed7/iou_results_libero_10.json | /n/holylfs06/LABS/sham_lab/Users/chloe00/vla-interp/results/attention/ratio/dreamzero/perturb/prompt_opposite/libero_10_seed7/attention_ratio_results_libero_10.json
DreamZero,libero_10,original,0,1,,1.0,0.5295192789727893,0.14361895106892628,/n/holylfs06/LABS/sham_lab/Users/chloe00/vla-interp/results/attention/iou/dreamzero/perturb/none/libero_10_seed7/iou_results_libero_10.json | /n/holylfs06/LABS/sham_lab/Users/chloe00/vla-interp/results/attention/iou/dreamzero/perturb/pol_object_shift_x0.05_y0.0/libero_10_seed7/iou_results_libero_10.json | /n/holylfs06/LABS/sham_lab/Users/chloe00/vla-interp/results/attention/iou/dreamzero/perturb/pol_random_action_p0.25_s1.0/libero_10_seed7/iou_results_libero_10.json | /n/holylfs06/LABS/sham_lab/Users/chloe00/vla-interp/results/attention/iou/dreamzero/perturb/vis_rotate_15deg_translate_x0.1_y0.0/libero_10_seed7/iou_results_libero_10.json | /n/holylfs06/LABS/sham_lab/Users/chloe00/vla-interp/results/attention/iou/dreamzero/perturb/vis_rotate_30deg/libero_10_seed7/iou_results_libero_10.json | /n/holylfs06/LABS/sham_lab/Users/chloe00/vla-interp/results/attention/iou/dreamzero/perturb/vis_translate_x0.2_y0.0/libero_10_seed7/iou_results_libero_10.json | /n/holylfs06/LABS/sham_lab/Users/chloe00/vla-interp/results/attention/ratio/dreamzero/perturb/none/libero_10_seed7/attention_ratio_results_libero_10.json | /n/holylfs06/LABS/sham_lab/Users/chloe00/vla-interp/results/attention/ratio/dreamzero/perturb/pol_object_shift_x0.05_y0.0/libero_10_seed7/attention_ratio_results_libero_10.json | /n/holylfs06/LABS/sham_lab/Users/chloe00/vla-interp/results/attention/ratio/dreamzero/perturb/pol_random_action_p0.25_s1.0/libero_10_seed7/attention_ratio_results_libero_10.json | /n/holylfs06/LABS/sham_lab/Users/chloe00/vla-interp/results/attention/ratio/dreamzero/perturb/vis_rotate_15deg_translate_x0.1_y0.0/libero_10_seed7/attention_ratio_results_libero_10.json | /n/holylfs06/LABS/sham_lab/Users/chloe00/vla-interp/results/attention/ratio/dreamzero/perturb/vis_rotate_30deg/libero_10_seed7/attention_ratio_results_libero_10.json | /n/holylfs06/LABS/sham_lab/Users/chloe00/vla-interp/results/attention/ratio/dreamzero/perturb/vis_translate_x0.2_y0.0/libero_10_seed7/attention_ratio_results_libero_10.json
DreamZero,libero_10,random,0,1,,1.0,0.5389839089883215,0.09025547403508861,/n/holylfs06/LABS/sham_lab/Users/chloe00/vla-interp/results/attention/iou/dreamzero/perturb/prompt_random/libero_10_seed7/iou_results_libero_10.json | /n/holylfs06/LABS/sham_lab/Users/chloe00/vla-interp/results/attention/ratio/dreamzero/perturb/prompt_random/libero_10_seed7/attention_ratio_results_libero_10.json
