model,suite,prompt_mode,task_id,episode_id,prompt_used,success,ratio_mean,iou_mean,sources
DreamZero,libero_90_act,empty,0,0,,0.0,0.5649944972953295,,/n/holylfs06/LABS/sham_lab/Users/chloe00/vla-interp/results/attention/ratio/dreamzero/perturb/prompt_empty/libero_90_act_seed7/attention_ratio_results_libero_90_act.json
DreamZero,libero_90_act,opposite,0,0,,0.0,0.5703225365462199,,/n/holylfs06/LABS/sham_lab/Users/chloe00/vla-interp/results/attention/ratio/dreamzero/perturb/prompt_opposite/libero_90_act_seed7/attention_ratio_results_libero_90_act.json
DreamZero,libero_90_act,original,0,0,,1.0,0.5522312143404031,,/n/holylfs06/LABS/sham_lab/Users/chloe00/vla-interp/results/attention/ratio/dreamzero/perturb/none/libero_90_act_seed7/attention_ratio_results_libero_90_act.json | /n/holylfs06/LABS/sham_lab/Users/chloe00/vla-interp/results/attention/ratio/dreamzero/perturb/pol_object_shift_x0.05_y0.0/libero_90_act_seed7/attention_ratio_results_libero_90_act.json | /n/holylfs06/LABS/sham_lab/Users/chloe00/vla-interp/results/attention/ratio/dreamzero/perturb/pol_random_action_p0.25_s1.0/libero_90_act_seed7/attention_ratio_results_libero_90_act.json | /n/holylfs06/LABS/sham_lab/Users/chloe00/vla-interp/results/attention/ratio/dreamzero/perturb/vis_rotate_15deg_translate_x0.1_y0.0/libero_90_act_seed7/attention_ratio_results_libero_90_act.json | /n/holylfs06/LABS/sham_lab/Users/chloe00/vla-interp/results/attention/ratio/dreamzero/perturb/vis_rotate_30deg/libero_90_act_seed7/attention_ratio_results_libero_90_act.json | /n/holylfs06/LABS/sham_lab/Users/chloe00/vla-interp/results/attention/ratio/dreamzero/perturb/vis_translate_x0.2_y0.0/libero_90_act_seed7/attention_ratio_results_libero_90_act.json
DreamZero,libero_90_act,random,0,0,,0.0,0.5763126512880513,,/n/holylfs06/LABS/sham_lab/Users/chloe00/vla-interp/results/attention/ratio/dreamzero/perturb/prompt_random/libero_90_act_seed7/attention_ratio_results_libero_90_act.json
DreamZero,libero_90_act,shuffle,0,0,,1.0,0.5517374700782817,,/n/holylfs06/LABS/sham_lab/Users/chloe00/vla-interp/results/attention/ratio/dreamzero/perturb/prompt_shuffle/libero_90_act_seed7/attention_ratio_results_libero_90_act.json
DreamZero,libero_90_act,synonym,0,0,,1.0,0.5316783503072072,,/n/holylfs06/LABS/sham_lab/Users/chloe00/vla-interp/results/attention/ratio/dreamzero/perturb/prompt_synonym/libero_90_act_seed7/attention_ratio_results_libero_90_act.json
DreamZero,libero_90_act,empty,0,1,,1.0,0.5549622186781716,,/n/holylfs06/LABS/sham_lab/Users/chloe00/vla-interp/results/attention/ratio/dreamzero/perturb/prompt_empty/libero_90_act_seed7/attention_ratio_results_libero_90_act.json
DreamZero,libero_90_act,opposite,0,1,,0.0,0.575020874383511,,/n/holylfs06/LABS/sham_lab/Users/chloe00/vla-interp/results/attention/ratio/dreamzero/perturb/prompt_opposite/libero_90_act_seed7/attention_ratio_results_libero_90_act.json
DreamZero,libero_90_act,original,0,1,,0.0,0.570316133080174,,/n/holylfs06/LABS/sham_lab/Users/chloe00/vla-interp/results/attention/ratio/dreamzero/perturb/none/libero_90_act_seed7/attention_ratio_results_libero_90_act.json | /n/holylfs06/LABS/sham_lab/Users/chloe00/vla-interp/results/attention/ratio/dreamzero/perturb/pol_object_shift_x0.05_y0.0/libero_90_act_seed7/attention_ratio_results_libero_90_act.json | /n/holylfs06/LABS/sham_lab/Users/chloe00/vla-interp/results/attention/ratio/dreamzero/perturb/pol_random_action_p0.25_s1.0/libero_90_act_seed7/attention_ratio_results_libero_90_act.json | /n/holylfs06/LABS/sham_lab/Users/chloe00/vla-interp/results/attention/ratio/dreamzero/perturb/vis_rotate_15deg_translate_x0.1_y0.0/libero_90_act_seed7/attention_ratio_results_libero_90_act.json | /n/holylfs06/LABS/sham_lab/Users/chloe00/vla-interp/results/attention/ratio/dreamzero/perturb/vis_rotate_30deg/libero_90_act_seed7/attention_ratio_results_libero_90_act.json | /n/holylfs06/LABS/sham_lab/Users/chloe00/vla-interp/results/attention/ratio/dreamzero/perturb/vis_translate_x0.2_y0.0/libero_90_act_seed7/attention_ratio_results_libero_90_act.json
DreamZero,libero_90_act,random,0,1,,1.0,0.5641750213232226,,/n/holylfs06/LABS/sham_lab/Users/chloe00/vla-interp/results/attention/ratio/dreamzero/perturb/prompt_random/libero_90_act_seed7/attention_ratio_results_libero_90_act.json
